Sonstiges; (kurz Amazon, deutsche Aussprache [ˈamaʦoːn], englisch [ˈæməzən]) ist ein börsennotierter US-amerikanischer, global agierender Onlineversandhändler mit einer breit gefächerten Produktpalette
Sonstiges; abgeschlossene kaufmännische Ausbildung und/oder Studium, vorzugsweise in den Bereichen Groß- und Außenhandel und/oder E-Commerce 
Sonstiges; Abgeschlossenes Studium (Wirtschafts-)Informatik, Software-Entwicklung oder vergleichbare Qualifikation
Sonstiges; Abgeschlossenes Studium der Informatik, Wirtschaftsinformatik, Software-Engineering oder einer vergleichbaren Ausbildung 
Sonstiges; Abgeschlossenes Studium im kaufmännischen Bereich und/oder kaufmännische Berufsausbildung mit dem Schwerpunkt E-Commerce 
Sonstiges; Abgeschlossenes Studium mit digitalem Schwerpunkt (z.B. Wirtschaftsinformatik, Informatik, Digitales Marketing, E-Commerce) oder mehrere Jahre relevante Berufserfahrung im Bereich E-Commerce 
Sonstiges; abgeschlossenes Studium oder einschlägige Erfahrung in BWL, Wirtschaftswissenschaften
Sonstiges; Abgeschlossenes Studium oder IT-technis
Sonstiges; Abgeschlossenes Studium oder IT-technische Ausbildung (z. B. als Fachinformatiker) mit mehrjähriger Berufserfahrung in der Softwareentwicklung
Sonstiges; Abgeschlossenes Studium Technische Informatik, Elektrotechnik , Nachrichten bzw. Automatisierungstechnik oder nachweisbare Erfahrung in der Entwicklung größerer Softwareprojekte 
Sonstiges; Abgestimmt mit dem Produktmanagement konzeptionierst Du Robotik- und KI-Lösungen für aktuelle und zukünftige Kärcher-Produkte, entwickelst entsprechende Funktionen und begleitest deren Transfer in die Serie. 
Sonstiges; Abstimmung der Schnittstellen zwischen HMI und Maschinensteuerung
Sonstiges; Abwechslungsreiche Aufgaben mit viel Gestaltungsspielraum in einem hochtechnologischen Cloud-Umfeld. 
Sonstiges; ad hoc Datenanalysen durchführen sowie Hypothesen und Handlungsempfehlungen für Digital Commerce, den Einkauf und das Marketing ableiten
Sonstiges; Adaption und Design von Software-Architekturen 
Sonstiges; Administration einer bestehender AWS Cloud Umgebung 
Sonstiges; Administration von Azure-Komponenten und Monitoring der notwendigen Prozesse
Sonstiges; Affinität zur Automatisierungstechnik und deren Umsetzung
Sonstiges; Agile Entwicklung in abwechslungsreichen und innovativen Softwareprojekten für Branchenführer. 
Sonstiges; Agile Softwareentwicklung (z. B. Kanban, Scrum) 
Sonstiges; Agile Softwareentwicklung im Bereich des dSPACE FPGA Programming Blocksets - o Grundkenntnisse im Bereich Softwareengineering, z. B. OOA, OOD oder UML
Sonstiges; Agile Softwareentwicklung in C# oder C/C++ unter Windows® oder Linux sowie Verwendung von Azure® DevOps und Git
Sonstiges; Agile Softwareentwicklung nach SCRUM 
Sonstiges; Agiles Mindset, lösungsorientierte Denkweise und Freude an der Arbeit in einem agilen Team, z. B. nach Scrum
Sonstiges; Agiles Projektmanagement der projektbezogenen Software-Teilprodukte 
Sonstiges; Aktive Mitarbeit bei der Implementierung sowie Ausführung von operativen und strategischen eCommerce Projekten 
Sonstiges; Aktive Mitarbeit in Embedded-Software-Projekten 
Sonstiges; Aktive Mitgestaltung des gesamten Softwareentwicklungsprozesses - von der Anforderungsanalyse über das Design bis hin zur Implementierung und Qualitätssicherung sowie die permanente Weiterentwicklung bestehender Softwareanwendungen 
Sonstiges; Als Business Intelligence Engineer verantwortest Du die Entwicklung und Optimierung von ETL Datenflüssen im Data Warehouse auf Basis von bankfachlichen und technischen Anforderungen
Sonstiges; Als i-Tüpfelchen hast du auch schon Erfahrung mit agilen Softwareentwicklungsmethoden gesammelt.
Sonstiges; Als Softwareentwickler (m/w/d) unterstützt du uns bei der Analyse von fachlichen Anforderungen und arbeitest an der Konzeption und Umsetzung neuer Software-Funktionen und -Komponenten mit 
Sonstiges; Als Softwareentwickler Anwendungs-Software für Traktoren (w/m/div.) entwickeln Sie Software-Anforderungen, -Architektur und -Design nach Kundenanforderungen und erstellen neue Softwaremodule für Traktoren. 
Sonstiges; Als Softwareentwickler mit Schwerpunkt Testkonzept und Automatisierung (w/m/div.) 
Sonstiges;Sie zuständig für die Ableitung und Definition von Maßnahmen zur Verbesserung der Software-Qualität durch Testaktivitäten. 
Sonstiges; Als Teil unseres Teams Plugins & Tools spielen Sie eine entscheidende Rolle bei der Entwicklung und Umsetzung von Software in Roboter-Ökosystemen 
Sonstiges; Als zentrale Ansprechperson beantworten Sie technische Fragen im E-Commerce-Bereich und sind Sparringspartner 
Sonstiges; Amazon setzte sich mit AWS bei der Vergabe gegen IBM und andere Bewerber durch
Sonstiges; Analyse bestehender Applikationen in verschiedenen Clouds (GCP, Azure, OpenStack) 
